date	javascript	java	c#	php	python	c++	objective-c	swift	c	ruby-on-rails	bash	scala	r
2015-09	23751	18916	14269	15115	11849	6351	3243	5055	3208	3593	1179	1257	3573
2015-10	24284	20706	14318	15526	13637	7596	3194	4757	3846	3614	1367	1155	4010
2015-11	23748	19913	13866	14877	13355	7641	2666	4785	3806	3359	1317	1141	3876
2015-12	23203	18446	13439	15272	12665	7035	2538	4791	3243	3314	1228	1194	3446
2016-01	24878	18583	13711	16133	13401	6563	2632	5275	3205	3709	1303	1118	3858
2016-02	25040	20036	14274	16655	14392	7085	2650	5198	3419	3682	1467	1218	3986
2016-03	26991	22494	15232	17079	15415	7637	2642	5623	3646	3775	1512	1383	4462
2016-04	26351	22340	15443	16584	15130	7553	2562	5311	3560	3817	1625	1351	4644
2016-05	26985	20829	15836	17319	14935	7040	2346	5118	3078	3447	1526	1321	4380
2016-06	10324	7980	6177	6827	5802	2810	973	2129	1092	1368	567	537	1802
